Team,Play,Win,Draw,Lose,Goals For (GF),Goals Against (GA),Goal Difference (GD),Point,AVG-GF,AVG-GA,Win-Ratio,Draw-Ratio,Lose-Ratio
Crystal Palace,14,5,4,5,15,18,-3,19,1.07,1.29,35.7%,28.6%,35.7%
Fulham,15,5,4,6,24,26,-2,19,1.60,1.73,33.3%,26.7%,40.0%
Bournemouth,15,4,4,7,18,32,-14,16,1.20,2.13,26.7%,26.7%,46.7%
Leeds,14,4,3,7,22,26,-4,15,1.57,1.86,28.6%,21.4%,50.0%
Newcastle,15,8,6,1,29,11,18,30,1.93,0.73,53.3%,40.0%,6.7%
Tottenham,15,9,2,4,31,21,10,29,2.07,1.40,60.0%,13.3%,26.7%
Everton,15,3,5,7,11,17,-6,14,0.73,1.13,20.0%,33.3%,46.7%
Leicester,15,5,2,8,25,25,0,17,1.67,1.67,33.3%,13.3%,53.3%
Man United,14,8,2,4,20,20,0,26,1.43,1.43,57.1%,14.3%,28.6%
West Ham,15,4,2,9,12,17,-5,14,0.80,1.13,26.7%,13.3%,60.0%
Aston Villa,15,5,3,7,16,22,-6,18,1.07,1.47,33.3%,20.0%,46.7%
Arsenal,14,12,1,1,33,11,22,37,2.36,0.79,85.7%,7.1%,7.1%
Brighton,14,6,3,5,23,19,4,21,1.64,1.36,42.9%,21.4%,35.7%
Man City,14,10,2,2,40,14,26,32,2.86,1.00,71.4%,14.3%,14.3%
Southampton,15,3,3,9,13,27,-14,12,0.87,1.80,20.0%,20.0%,60.0%
Wolves,15,2,4,9,8,24,-16,10,0.53,1.60,13.3%,26.7%,60.0%
Brentford,15,4,7,4,23,25,-2,19,1.53,1.67,26.7%,46.7%,26.7%
Nott'm Forest,15,3,4,8,11,30,-19,13,0.73,2.00,20.0%,26.7%,53.3%
Chelsea,14,6,3,5,17,17,0,21,1.21,1.21,42.9%,21.4%,35.7%
Liverpool,14,6,4,4,28,17,11,22,2.00,1.21,42.9%,28.6%,28.6%
